0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5.767133,5.135059,6.553146,10.282506,8.794271,8.525524,3.149713,2.772712,6.565093,8.633014,4.025593,1.655127,1.354249,2.457761,2.693119,2.436035,1.851921,1.869094,1.032283,1
2.418536,2.39673,2.578792,3.161669,2.909798,2.256958,1.25987,1.387401,2.787671,3.118112,1.571342,0.646172,1.199703,1.675401,2.365499,1.278331,0.824772,1.415276,1.160918,1
1.749411,1.909825,1.853571,1.624021,1.56267,1.905095,1.680191,1.425611,1.472847,1.655083,1.782559,1.515778,1.678453,1.524529,1.973846,2.01328,2.835677,2.712674,2.962868,1
1.278858,1.804034,1.083954,1.401704,1.877801,1.604494,1.387537,0.608211,1.571278,1.76427,1.451899,0.584444,0.383924,1.112824,1.216761,1.487669,0.438609,1.139257,0.971195,1
1.977427,1.707401,1.761351,1.805375,1.849975,1.803337,1.660481,2.137669,1.818108,1.929994,2.105219,1.514721,1.60005,2.01242,2.704804,2.020438,1.398396,2.142624,1.734795,1
9.63835,11.17497,9.380898,13.401135,13.248218,11.871643,8.755391,5.999424,9.271058,10.650374,9.702157,8.006057,4.994653,6.912774,7.899842,7.926034,7.545135,5.5562,6.471022,1
1.132154,1.196105,1.103265,1.254035,1.831708,1.541206,1.115529,0.830841,1.181286,2.291326,1.647908,0.947712,0.47006,1.978463,1.290802,1.246381,0.877276,0.481521,0.658213,1
1.656138,2.244487,1.497034,1.836004,1.722629,2.036927,1.878081,1.651765,2.260147,1.63355,1.780548,1.732915,2.88361,2.1608,1.677831,1.509696,2.128296,2.670084,2.523052,1
5.166143,2.525214,2.178875,3.187617,4.20786,2.06583,2.521159,1.407667,2.349886,2.219413,1.895443,1.536227,1.126778,1.665698,2.493139,2.919755,1.601525,2.035558,1.498999,1
0.975728,0.846414,1.315014,0.748256,0.833615,1.1837,1.130184,0.517934,0.68756,0.621258,0.675352,0.477347,0.480983,0.519541,0.459049,0.460231,0.326343,0.397631,0.448343,1
0.946958,0.770265,0.700318,1.138617,0.954684,0.937921,0.502239,0.657067,1.092057,1.466476,0.797636,0.536776,0.677238,0.895011,0.846373,0.660466,0.347709,0.768257,0.592529,1
2.394909,2.824598,2.644736,2.760664,2.895344,2.869497,3.513117,1.58515,2.055255,2.093349,2.140819,2.392491,1.55308,1.703171,1.755497,1.915255,1.810976,1.619689,1.797832,1
3.453292,3.063642,2.361971,4.729087,5.148483,3.95014,2.218163,2.064903,3.102448,3.439378,2.279801,1.819105,1.854232,2.305402,2.256646,1.90339,1.723536,1.873095,2.015309,1
1.124211,1.037361,0.866264,1.151986,1.245139,1.193524,0.947767,0.629055,0.930364,0.979502,0.906802,0.963599,0.748009,0.826099,0.804031,0.792353,0.559545,2.562438,1.422185,1
4.072627,4.002545,4.115443,4.076962,4.476282,4.140717,3.734829,3.99102,4.105122,4.38494,4.273427,3.10663,3.967892,4.766497,4.467569,4.400225,3.670066,3.869461,3.769563,1
1.586456,1.918425,1.161606,1.519763,1.802706,1.908319,1.728029,0.897761,1.459342,2.020142,1.825326,1.645185,0.927105,1.347096,1.724168,1.752799,1.714008,1.41858,1.722293,1
2.363335,2.339768,3.176824,3.822054,2.38164,2.443005,2.135345,2.304906,4.234172,3.705586,3.872788,2.41888,2.565026,3.082687,3.178695,3.603437,2.133294,2.139725,2.392191,1
0.784856,0.871046,2.217491,1.484185,0.796925,0.748769,0.777034,0.951715,1.244248,0.774669,0.707822,0.799874,0.676799,1.111793,0.820739,0.796099,0.810799,1.703528,0.81349,1
1.556253,1.497329,1.662822,1.794001,1.618986,1.705873,1.390616,1.648735,1.890226,1.729081,1.64332,1.188636,1.483526,1.619339,1.430002,1.437368,1.414461,1.3666,1.527011,1
1.489642,1.587618,1.296535,1.856164,3.549364,1.708128,1.272514,0.951007,1.298414,1.451553,1.792826,1.586688,0.994039,2.753294,3.301146,6.428544,6.86693,2.645762,2.721679,1
0.915398,1.289146,1.280051,0.874004,0.92887,1.125759,0.98913,0.850449,0.798277,0.881773,0.827307,0.85324,0.780298,1.023175,1.230869,1.477157,0.977778,1.265685,1.263445,1
1.365853,1.474647,1.484992,1.345174,1.593022,2.09936,1.337618,0.841779,1.118604,1.106095,1.46027,0.970641,1.00745,1.467419,1.958746,1.308995,1.145734,1.906012,1.050592,1
3.923823,4.213683,3.930823,5.197253,6.179591,5.230311,5.519948,3.460859,5.003712,4.772833,4.59607,2.780854,2.96931,3.516692,3.450774,3.395674,2.004828,2.591572,2.249867,1
0.731398,0.708539,0.662035,0.658553,0.663215,0.673649,0.668989,0.639223,0.652595,0.656734,0.64583,0.571975,0.66125,0.695778,0.724621,0.67849,0.692993,0.74745,0.765592,1
3.687221,3.346686,3.053629,4.252177,4.109018,4.01756,3.033704,2.592031,3.97526,3.450275,3.52734,1.69115,2.336889,3.227365,2.809618,2.691991,1.485201,1.587032,1.430249,1
1.441174,1.458628,1.166265,1.660327,1.623804,1.599688,1.335614,0.741689,1.279329,1.308417,1.17867,0.478637,0.739663,1.036269,1.160856,1.079944,1.137616,0.456575,0.60645,1
1.32453,1.483626,0.991102,1.029919,1.08398,1.039596,0.917837,0.586082,0.611913,0.733439,0.64548,0.550052,0.431004,0.566517,0.555515,0.533823,0.440894,0.434342,0.435845,1
1.297772,1.22404,1.170399,1.585021,1.434126,1.347731,1.29483,0.797132,1.133325,1.426604,1.276087,1.07226,0.740719,1.181157,1.22078,1.190707,1.009275,1.008792,1.152085,1
1.28223,1.158413,0.925778,0.910871,1.052786,0.970504,0.858808,0.740303,0.782872,0.868878,0.805324,0.675895,0.707775,0.759921,0.735392,0.685349,0.567792,0.744371,0.700058,1
1.064173,1.035158,0.904371,1.196912,1.243395,1.207091,0.828006,0.882061,1.321948,1.270284,1.313517,1.690333,1.123755,1.642324,1.328759,1.45515,1.125877,1.024969,1.166727,1
0.742775,0.979621,0.731175,1.282278,1.620724,0.831849,0.561097,0.594754,0.779714,1.148042,1.101066,0.365976,0.527856,0.759475,0.720952,0.505324,0.436135,0.393149,0.33028,1
2.05642,1.602293,3.373562,2.490836,1.966476,1.801551,1.924872,1.585844,1.955583,1.896769,1.695095,1.373174,0.681113,1.360936,1.461343,1.590694,1.582639,1.130934,1.201518,1
1.249579,1.021965,0.923164,1.468372,1.34071,1.654442,0.864579,0.765427,1.077653,1.294449,1.606138,0.644175,0.606092,0.945265,1.010884,0.944149,0.549383,0.68493,0.615405,1
2.521377,2.737573,2.167832,3.851837,4.30604,4.739339,3.248961,1.33137,3.920753,4.441329,4.721411,1.54532,0.835196,2.079718,2.147027,2.815265,1.312682,1.011223,0.912673,1
1.414396,0.524387,0.799009,0.882698,1.030955,0.956602,0.961685,1.224393,0.698753,1.04089,1.163188,0.568086,1.488618,1.441459,0.627372,0.691185,0.731823,4.231413,0.892881,1
10.230327,11.459626,4.287046,10.021861,12.252441,13.798746,8.296247,1.525334,4.788606,7.477378,6.381948,3.26516,2.098127,3.823006,4.978868,4.546435,1.536201,3.019257,2.142286,1
5.964774,5.492776,4.86591,6.011846,6.134208,6.264182,5.172068,4.209415,5.902229,6.565606,5.456799,3.634041,3.858112,4.496503,4.469861,3.898416,3.53034,3.7196,3.699427,1
