0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3.541234,3.744485,4.364895,3.991155,4.423663,4.13196,4.656584,2.922542,3.865911,3.766802,3.892799,9.518377,1.590015,3.161728,3.271733,3.405098,3.115532,3.902013,3.868632,1
3.541234,3.744485,4.364895,3.991155,4.423663,4.13196,4.656584,2.922542,3.865911,3.766802,3.892799,9.518377,1.590015,3.161728,3.271733,3.405098,3.115532,3.902013,3.868632,1
2.67978,3.00646,2.132039,3.257238,3.720001,3.419259,2.327293,2.130212,2.87705,3.595979,3.554967,2.012954,1.641873,1.855307,2.42502,2.745295,2.382447,1.698862,2.112811,1
1.567229,1.738791,0.800523,1.274668,1.599697,1.522895,1.316874,0.768812,1.215831,1.887047,1.583056,1.138685,1.151009,1.201162,1.454952,1.539507,1.542443,2.718976,2.899686,1
2.369611,2.509649,2.58579,3.028777,3.00605,2.917241,2.512487,2.1715,2.861633,2.924476,2.709408,1.960007,1.851999,2.113653,2.04529,1.84232,1.529823,1.732012,1.445309,1
3.294638,3.427084,3.884874,3.536487,3.571527,3.538571,3.559144,2.824649,3.210443,3.887625,3.42618,3.293484,2.390103,3.031481,3.465861,3.705316,3.937456,3.301501,7.052816,1
0.797626,1.403475,0.833327,1.033386,1.354274,1.477705,1.608149,0.711635,0.981476,1.167598,0.903698,0.75746,0.299266,0.55999,0.749188,0.531466,0.39402,0.583446,0.623874,1
0.706473,0.778653,0.539128,0.919251,1.134735,0.825525,0.530927,0.366612,0.699619,1.112243,0.682792,0.42927,0.377174,0.60839,0.72575,0.753826,0.612745,0.775356,1.841155,1
1.665007,1.752207,1.396325,1.457311,1.670018,1.640887,1.399971,1.142411,1.365283,1.605577,1.410813,1.369849,1.131069,1.209187,1.251189,1.194367,1.186873,1.463987,1.188557,1
3.674771,3.798844,3.201895,3.807227,4.161953,4.340955,4.727395,3.46331,3.215077,3.613165,3.615547,3.134426,2.20919,2.635486,2.943686,3.105006,2.998357,3.601826,3.648021,1
4.81288,5.065791,4.819088,4.877818,4.973311,5.062567,5.221229,4.562205,4.824829,4.957692,5.063494,5.973737,4.55182,4.917037,4.995812,5.329448,5.417532,8.205723,8.652267,1
