Disorder,Feature,MaxValue,RowLabel
Acute,SVM AUC,0.975,Acute_AEI_HighBeta_FCPCA
Acute,KNN AUC,0.8125,Acute_AEI_Alpha_PSDPCA
Acute,KNN AUC,0.8125,Acute_AEI_Gamma_PSD
Acute,Random Forest AUC,0.8625,Acute_AEI_Alpha_PSDPCA
Acute,Logistic Regression AUC,0.9,Acute_AEI_HighBeta_FCPCA
Acute,XGB AUC,0.8125,Acute_AEI_Gamma_PSDPCA
Adjustment,SVM AUC,1.0,Adjustment_AEI_Delta_PSDPCA
Adjustment,SVM AUC,1.0,Adjustment_AEI_Theta_PSDPCA
Adjustment,SVM AUC,1.0,Adjustment_AEI_All_PSDPCA
Adjustment,KNN AUC,0.979591836734694,Adjustment_AEI_Beta_PSDPCA
Adjustment,Random Forest AUC,1.0,Adjustment_AEI_Beta_PSDPCA
Adjustment,Logistic Regression AUC,1.0,Adjustment_AEI_Delta_PSDPCA
Adjustment,Logistic Regression AUC,1.0,Adjustment_AEI_Theta_PSDPCA
Adjustment,Logistic Regression AUC,1.0,Adjustment_AEI_All_PSDPCA
Adjustment,XGB AUC,1.0,Adjustment_AEI_Beta_PSDPCA
Adjustment,XGB AUC,1.0,Adjustment_AEI_All_PSDPCA
Alcohol,SVM AUC,0.9111111111111112,Alcohol_AEI_Theta_FCPCA
Alcohol,KNN AUC,0.8222222222222222,Alcohol_AEI_Beta_PSDPCA
Alcohol,Random Forest AUC,0.9166666666666669,Alcohol_AEI_Gamma_PSDPCA
Alcohol,Logistic Regression AUC,0.9222222222222222,Alcohol_AEI_Theta_FCPCA
Alcohol,XGB AUC,0.8999999999999999,Alcohol_AEI_Alpha_PSD
Behavioral,SVM AUC,0.7833333333333333,Behavioral_AEI_All_FCPCA
Behavioral,KNN AUC,0.7222222222222222,Behavioral_AEI_Theta_FCPCA
Behavioral,Random Forest AUC,0.8333333333333334,Behavioral_AEI_Beta_FCPCA
Behavioral,Logistic Regression AUC,0.788888888888889,Behavioral_AEI_Theta_FC
Behavioral,XGB AUC,0.8333333333333334,Behavioral_AEI_All_FCPCA
Bipolar,SVM AUC,1.0,Bipolar_AEI_All_PSDPCA
Bipolar,KNN AUC,1.0,Bipolar_AEI_Delta_PSDPCA
Bipolar,Random Forest AUC,1.0,Bipolar_AEI_Beta_PSDPCA
Bipolar,Logistic Regression AUC,1.0,Bipolar_AEI_All_PSDPCA
Bipolar,XGB AUC,0.96875,Bipolar_AEI_All_PSDPCA
Bipolar,XGB AUC,0.96875,Bipolar_AEI_Beta_FCPCA
Depressive,SVM AUC,0.936842105263158,Depressive_AEI_Theta_FCPCA
Depressive,KNN AUC,0.8236842105263159,Depressive_AEI_Delta_PSDPCA
Depressive,Random Forest AUC,0.894736842105263,Depressive_AEI_HighBeta_FCPCA
Depressive,Logistic Regression AUC,0.936842105263158,Depressive_AEI_Theta_FCPCA
Depressive,XGB AUC,0.9315789473684212,Depressive_AEI_Delta_FCPCA
Panic,SVM AUC,0.8,Panic_AEI_Theta_FCPCA
Panic,KNN AUC,0.7818181818181819,Panic_AEI_Theta_PSDPCA
Panic,Random Forest AUC,0.7909090909090909,Panic_AEI_HighBeta_PSD
Panic,Random Forest AUC,0.7909090909090909,Panic_AEI_Delta_FCPCA
Panic,Random Forest AUC,0.7909090909090909,Panic_AEI_HighBeta_FCPCA
Panic,Logistic Regression AUC,0.8181818181818182,Panic_AEI_Theta_FCPCA
Panic,XGB AUC,0.9090909090909092,Panic_AEI_Beta_PSD
PTSD,SVM AUC,0.931818181818182,PTSD_AEI_HighBeta_PSDPCA
PTSD,KNN AUC,0.9545454545454546,PTSD_AEI_Beta_PSDPCA
PTSD,Random Forest AUC,1.0,PTSD_AEI_HighBeta_PSDPCA
PTSD,Logistic Regression AUC,0.9772727272727272,PTSD_AEI_Theta_FCPCA
PTSD,XGB AUC,0.9545454545454544,PTSD_AEI_Beta_PSDPCA
Social,SVM AUC,0.875,Social_AEI_All_FCPCA
Social,KNN AUC,0.7589285714285714,Social_AEI_Delta_FC
Social,KNN AUC,0.7589285714285714,Social_AEI_Delta_FCPCA
Social,Random Forest AUC,0.8303571428571428,Social_AEI_Gamma_FCPCA
Social,Logistic Regression AUC,0.8392857142857143,Social_AEI_All_FCPCA
Social,XGB AUC,0.8928571428571428,Social_AEI_Theta_PSDPCA
Acute.csv,SVM AUC,1.0,Acute.csv_Alpha_FC
Acute.csv,SVM AUC,1.0,Acute.csv_HighBeta_FC
Acute.csv,SVM AUC,1.0,Acute.csv_All_FC
Acute.csv,KNN AUC,0.9166666666666666,Acute.csv_Alpha_FC
Acute.csv,Random Forest AUC,1.0,Acute.csv_HighBeta_FC
Acute.csv,Random Forest AUC,1.0,Acute.csv_HighBeta_FCPCA
Acute.csv,Logistic Regression AUC,1.0,Acute.csv_All_FC
Acute.csv,XGB AUC,1.0,Acute.csv_HighBeta_FC
Acute.csv,XGB AUC,1.0,Acute.csv_All_FCPCA
