Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Addictive_AEI_Delta_PSD,0.75,0.707482993197279,0.857142857142857,0.829931972789116,0.678571428571429,0.527210884353742,0.785714285714286,0.333333333333333,0.75,0.700680272108844
Addictive_AEI_Delta_PSDPCA,0.642857142857143,0.673469387755102,0.678571428571429,0.744897959183673,0.642857142857143,0.700680272108843,0.642857142857143,0.653061224489796,0.714285714285714,0.710884353741497
Addictive_AEI_Theta_PSD,0.75,0.557823129251701,0.535714285714286,0.36734693877551,0.607142857142857,0.248299319727891,0.607142857142857,0.340136054421769,0.678571428571429,0.445578231292517
Addictive_AEI_Theta_PSDPCA,0.607142857142857,0.63265306122449,0.714285714285714,0.717687074829932,0.535714285714286,0.629251700680272,0.607142857142857,0.653061224489796,0.75,0.717687074829932
Addictive_AEI_Alpha_PSD,0.785714285714286,0.727891156462585,0.535714285714286,0.540816326530612,0.785714285714286,0.710884353741497,0.785714285714286,0.659863945578231,0.642857142857143,0.673469387755102
Addictive_AEI_Alpha_PSDPCA,0.571428571428571,0.571428571428571,0.535714285714286,0.554421768707483,0.571428571428571,0.687074829931973,0.5,0.598639455782313,0.75,0.785714285714286
Addictive_AEI_Beta_PSD,0.75,0.598639455782313,0.642857142857143,0.408163265306122,0.642857142857143,0.41156462585034,0.714285714285714,0.578231292517007,0.75,0.615646258503401
Addictive_AEI_Beta_PSDPCA,0.642857142857143,0.639455782312925,0.678571428571429,0.724489795918367,0.642857142857143,0.67687074829932,0.642857142857143,0.687074829931973,0.75,0.564625850340136
Addictive_AEI_HighBeta_PSD,0.678571428571429,0.442176870748299,0.571428571428571,0.448979591836735,0.607142857142857,0.534013605442177,0.714285714285714,0.482993197278912,0.785714285714286,0.54421768707483
Addictive_AEI_HighBeta_PSDPCA,0.642857142857143,0.680272108843537,0.571428571428571,0.741496598639456,0.5,0.595238095238095,0.642857142857143,0.666666666666667,0.75,0.646258503401361
Addictive_AEI_Gamma_PSD,0.678571428571429,0.476190476190476,0.642857142857143,0.636054421768708,0.678571428571429,0.503401360544218,0.678571428571429,0.482993197278912,0.75,0.656462585034014
Addictive_AEI_Gamma_PSDPCA,0.607142857142857,0.690476190476191,0.642857142857143,0.690476190476191,0.75,0.758503401360544,0.571428571428571,0.687074829931973,0.714285714285714,0.653061224489796
Addictive_AEI_All_PSD,0.642857142857143,0.782312925170068,0.714285714285714,0.656462585034014,0.75,0.612244897959184,0.678571428571429,0.727891156462585,0.642857142857143,0.380952380952381
Addictive_AEI_All_PSDPCA,0.642857142857143,0.537414965986395,0.5,0.370748299319728,0.642857142857143,0.683673469387755,0.607142857142857,0.537414965986395,0.75,0.802721088435374
Anxiety_AEI_Delta_PSD,0.45,0.666666666666667,0.45,0.464646464646465,0.5,0.464646464646465,0.45,0.606060606060606,0.3,0.242424242424242
Anxiety_AEI_Delta_PSDPCA,0.75,0.949494949494949,0.7,0.833333333333333,0.75,0.853535353535354,0.8,0.919191919191919,0.8,0.919191919191919
Anxiety_AEI_Theta_PSD,0.5,0.474747474747475,0.6,0.752525252525253,0.45,0.54040404040404,0.5,0.414141414141414,0.55,0.565656565656566
Anxiety_AEI_Theta_PSDPCA,0.75,0.919191919191919,0.75,0.893939393939394,0.7,0.904040404040404,0.75,0.919191919191919,0.75,0.888888888888889
Anxiety_AEI_Alpha_PSD,0.45,0.242424242424242,0.6,0.550505050505051,0.35,0.419191919191919,0.5,0.737373737373737,0.4,0.515151515151515
Anxiety_AEI_Alpha_PSDPCA,0.75,0.919191919191919,0.8,0.914141414141414,0.7,0.878787878787879,0.7,0.919191919191919,0.8,0.898989898989899
Anxiety_AEI_Beta_PSD,0.4,0.383838383838384,0.4,0.409090909090909,0.35,0.373737373737374,0.35,0.333333333333333,0.45,0.444444444444444
Anxiety_AEI_Beta_PSDPCA,0.75,0.929292929292929,0.75,0.873737373737374,0.75,0.873737373737374,0.8,0.939393939393939,0.8,0.898989898989899
Anxiety_AEI_HighBeta_PSD,0.35,0.545454545454545,0.45,0.414141414141414,0.4,0.44949494949495,0.35,0.464646464646465,0.5,0.575757575757576
Anxiety_AEI_HighBeta_PSDPCA,0.8,0.94949494949495,0.8,0.934343434343434,0.75,0.934343434343434,0.75,0.94949494949495,0.75,0.949494949494949
Anxiety_AEI_Gamma_PSD,0.45,0.545454545454545,0.45,0.398989898989899,0.5,0.560606060606061,0.45,0.545454545454545,0.55,0.585858585858586
Anxiety_AEI_Gamma_PSDPCA,0.85,0.94949494949495,0.8,0.929292929292929,0.8,0.904040404040404,0.85,0.94949494949495,0.85,0.919191919191919
Anxiety_AEI_All_PSD,0.45,0.494949494949495,0.5,0.555555555555556,0.65,0.631313131313131,0.35,0.444444444444445,0.7,0.707070707070707
Anxiety_AEI_All_PSDPCA,0.75,0.95959595959596,0.65,0.777777777777778,0.7,0.828282828282828,0.7,0.939393939393939,0.75,0.853535353535354
Mood_AEI_Delta_PSD,0.833333333333333,0.455555555555556,0.722222222222222,0.438888888888889,0.777777777777778,0.438888888888889,0.722222222222222,0.527777777777778,0.833333333333333,0.177777777777778
Mood_AEI_Delta_PSDPCA,0.916666666666667,0.991666666666667,0.777777777777778,0.852777777777778,0.916666666666667,0.919444444444445,0.944444444444444,0.977777777777778,0.916666666666667,0.938888888888889
